id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2021-1530435,2021-06-24,1,Vente,104500.00,7,,"RUE DU GUE",0033,90140,90017,Bourogne,90,,,90017000AB0529,,,11,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.9141680,47.5591400,000AB
2021-1530435,2021-06-24,1,Vente,104500.00,7,,"RUE DU GUE",0033,90140,90017,Bourogne,90,,,90017000AB0529,,,17,61.64,29,,5,,,,,,3,3,Dépendance,,0,,,,,,6.9141680,47.5591400,000AB
2021-1530435,2021-06-24,1,Vente,104500.00,7,,"RUE DU GUE",0033,90140,90017,Bourogne,90,,,90017000AB0529,,,17,61.64,29,,5,,,,,,3,2,Appartement,64.00,2,,,,,,6.9141680,47.5591400,000AB
2021-1530436,2021-09-07,1,Vente,139.00,,,"LA NAYATTE",B020,90300,90103,Vétrigne,90,,,90103000AA0142,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,27.00,,,000AA
2021-1530436,2021-09-07,1,Vente,139.00,,,"LA NAYATTE",B020,90300,90103,Vétrigne,90,,,90103000AA0143,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,29.00,,,000AA
2021-1530436,2021-09-07,1,Vente,139.00,,,"LA NAYATTE",B020,90300,90103,Vétrigne,90,,,90103000AA0146,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,21.00,,,000AA
2021-1530436,2021-09-07,1,Vente,139.00,,,"LA NAYATTE",B020,90300,90103,Vétrigne,90,,,90103000AA0147,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,20.00,,,000AA
2021-1530436,2021-09-07,1,Vente,139.00,,,"LA NAYATTE",B020,90300,90103,Vétrigne,90,,,90103000AA0150,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,21.00,,,000AA
2021-1530436,2021-09-07,1,Vente,139.00,,,"LA NAYATTE",B020,90300,90103,Vétrigne,90,,,90103000AA0151,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,21.00,,,000AA
2021-1530437,2021-08-26,1,Vente,66000.00,,,"LES ECLOUPES",B026,90330,90023,Chaux,90,,,90023000AD0236,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,1500.00,,,000AD
2021-1530438,2021-08-31,1,Vente,217050.00,2,B,"RUE FRAIRIE",0018,90170,90003,Anjoutey,90,,,90003000AC0384,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,632.00,6.9350100,47.7012290,000AC
2021-1530438,2021-08-31,1,Vente,217050.00,2,B,"RUE FRAIRIE",0018,90170,90003,Anjoutey,90,,,90003000AC0384,,,,,,,,,,,,,0,1,Maison,104.00,4,S,sols,,,632.00,6.9350100,47.7012290,000AC
2021-1530439,2021-08-27,1,Vente,267000.00,8,B,"RUE DU GENERAL DE GAULLE",0007,90360,90058,Lachapelle-sous-Rougemont,90,,,900580000B0310,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,712.00,7.0098250,47.7085610,0000B
2021-1530439,2021-08-27,1,Vente,267000.00,8,B,"RUE DU GENERAL DE GAULLE",0007,90360,90058,Lachapelle-sous-Rougemont,90,,,900580000B0310,,,,,,,,,,,,,0,1,Maison,340.00,11,S,sols,,,712.00,7.0098250,47.7085610,0000B
2021-1530439,2021-08-27,1,Vente,267000.00,8,B,"RUE DU GENERAL DE GAULLE",0007,90360,90058,Lachapelle-sous-Rougemont,90,,,900580000B0310,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,712.00,7.0098250,47.7085610,0000B
2021-1530439,2021-08-27,1,Vente,267000.00,,,"LE VILLAGE",B030,90360,90058,Lachapelle-sous-Rougemont,90,,,900580000C0199,,,,,,,,,,,,,0,,,,,J,jardins,,,515.00,7.0098360,47.7088330,0000C
2021-1530440,2021-09-04,1,Vente,256000.00,,,"SOUS LA VIE DE MASEVAUX",B027,90360,90058,Lachapelle-sous-Rougemont,90,,,90058000ZA0116,,,,,,,,,,,,,0,,,,,AG,"terrains d'agrément",,,209.00,7.0160490,47.7133810,000ZA
2021-1530440,2021-09-04,1,Vente,256000.00,8,,"RUE DES VOSGES",0031,90360,90058,Lachapelle-sous-Rougemont,90,,,90058000ZA0117,,,,,,,,,,,,,0,1,Maison,138.00,5,S,sols,,,759.00,7.0164550,47.7133410,000ZA
2021-1530441,2021-09-07,1,Vente,177000.00,68,B,"RUE DOCTEUR EUG. JACQUOT",0100,90400,90032,Danjoutin,90,,,90032000AK0097,,,,,,,,,,,,,0,1,Maison,94.00,6,S,sols,,,522.00,6.8665980,47.6180470,000AK
2021-1530441,2021-09-07,1,Vente,177000.00,,,"VERGER DE L ANCIEN PAVILLO",B085,90400,90032,Danjoutin,90,,,90032000AK0110,,,,,,,,,,,,,0,,,,,S,sols,,,397.00,6.8666000,47.6178150,000AK
2021-1530441,2021-09-07,1,Vente,177000.00,,,"VERGER DE L ANCIEN PAVILLO",B085,90400,90032,Danjoutin,90,,,90032000AK0111,,,,,,,,,,,,,0,,,,,VE,vergers,,,193.00,6.8664840,47.6176840,000AK
2021-1530442,2021-09-01,1,Vente,131800.00,27,,"GRANDE RUE F. MITTERRAND",0203,90800,90008,Bavilliers,90,,,90008000AH0114,,,10,71.25,7,,,,,,,,2,2,Appartement,74.00,3,,,,,,6.8360270,47.6209420,000AH
2021-1530442,2021-09-01,1,Vente,131800.00,27,,"GRANDE RUE F. MITTERRAND",0203,90800,90008,Bavilliers,90,,,90008000AH0114,,,18,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8360270,47.6209420,000AH
2021-1530442,2021-09-01,1,Vente,131800.00,27,,"GRANDE RUE F. MITTERRAND",0203,90800,90008,Bavilliers,90,,,90008000AH0114,,,10,71.25,7,,,,,,,,2,3,Dépendance,,0,,,,,,6.8360270,47.6209420,000AH
2021-1530443,2021-07-29,1,Vente,117000.00,164,,"AV JEAN JAURES",2150,90000,90010,Belfort,90,,,90010000AD0408,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8501910,47.6529120,000AD
2021-1530443,2021-07-29,1,Vente,117000.00,164,,"AV JEAN JAURES",2150,90000,90010,Belfort,90,,,90010000AD0408,,,7,95.62,,,,,,,,,1,2,Appartement,88.00,4,,,,,,6.8501910,47.6529120,000AD
2021-1530443,2021-07-29,1,Vente,117000.00,164,,"AV JEAN JAURES",2150,90000,90010,Belfort,90,,,90010000AD0408,,,7,95.62,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8501910,47.6529120,000AD
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,2,,6,33.50,,,,,,,2,2,Appartement,34.00,1,,,,,,6.8545100,47.6450540,000AI
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,1,,4,70.50,,,,,,,2,2,Appartement,66.00,3,,,,,,6.8545100,47.6450540,000AI
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,3,,5,89.00,,,,,,,2,2,Appartement,100.00,4,,,,,,6.8545100,47.6450540,000AI
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,3,,5,89.00,,,,,,,2,3,Dépendance,,0,,,,,,6.8545100,47.6450540,000AI
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,2,,6,33.50,,,,,,,2,3,Dépendance,,0,,,,,,6.8545100,47.6450540,000AI
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,1,,4,70.50,,,,,,,2,3,Dépendance,,0,,,,,,6.8545100,47.6450540,000AI
2021-1530444,2021-09-09,1,Vente,210000.00,12,B,"RUE VICTOR HUGO",3870,90000,90010,Belfort,90,,,90010000AI0236,,,3,,5,89.00,,,,,,,2,3,Dépendance,,0,,,,,,6.8545100,47.6450540,000AI
2021-1530445,2021-09-07,1,Vente,76030.00,2,B,"RUE DE LA MECHELLE",2720,90000,90010,Belfort,90,,,90010000AB0297,,,11,74.45,,,,,,,,,1,2,Appartement,73.00,4,,,,,,6.8410720,47.6576600,000AB
2021-1530446,2021-08-24,1,Vente,249900.00,22,,"RUE DU JURA",0012,90100,90064,Lepuix-Neuf,90,,,900640000Y0292,,,,,,,,,,,,,0,1,Maison,150.00,5,S,sols,,,700.00,7.1020040,47.5356520,0000Y
2021-1530446,2021-08-24,1,Vente,249900.00,22,,"RUE DU JURA",0012,90100,90064,Lepuix-Neuf,90,,,900640000Y0292,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,1487.00,7.1020040,47.5356520,0000Y
2021-1530446,2021-08-24,1,Vente,249900.00,22,,"RUE DU JURA",0012,90100,90064,Lepuix-Neuf,90,,,900640000Y0292,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,700.00,7.1020040,47.5356520,0000Y
2021-1530446,2021-08-24,1,Vente,249900.00,22,,"RUE DU JURA",0012,90100,90064,Lepuix-Neuf,90,,,900640000Y0292,,,,,,,,,,,,,0,1,Maison,150.00,5,P,prés,,,1487.00,7.1020040,47.5356520,0000Y
2021-1530446,2021-08-24,1,Vente,249900.00,,,"LA NOZ BOISSARD",B064,90100,90064,Lepuix-Neuf,90,,,900640000Y0294,,,,,,,,,,,,,0,,,,,P,prés,,,260.00,7.1019560,47.5357760,0000Y
2021-1530446,2021-08-24,1,Vente,249900.00,,,"LA NOZ BOISSARD",B064,90100,90064,Lepuix-Neuf,90,,,900640000Y0341,,,,,,,,,,,,,0,,,,,S,sols,,,104.00,7.1024590,47.5358250,0000Y
2021-1530447,2021-08-24,1,Vente,90000.00,,,"SUR LES CANTONS VOISSEUX",B008,90100,90033,Delle,90,,,90033000BO0018,,,,,,,,,,,,,0,,,,,T,terres,,,1985.00,6.9849690,47.4984400,000BO
2021-1530448,2021-08-26,1,Vente,547475.20,1,,"CHARMELOT ET BEQUEROT",B016,90160,90012,Bessoncourt,90,,,90012000ZD0142,,,,,,,,,,,,,0,4,"Local industriel. commercial ou assimilé",1160.00,0,S,sols,,,3600.00,6.9177750,47.6399560,000ZD
2021-1530449,2021-09-07,2,Vente,11700.00,,,"LE HAUT DU BOIS LEROY",B045,90150,90062,Larivière,90,,,90062000ZB0337,,,,,,,,,,,,,0,,,,,S,sols,,,9357.00,6.9849950,47.6778050,000ZB
2021-1530449,2021-09-07,2,Vente,11700.00,,,"LE HAUT DU BOIS LEROY",B045,90150,90062,Larivière,90,,,90062000ZB0338,,,,,,,,,,,,,0,,,,,S,sols,,,8032.00,6.9858780,47.6778310,000ZB
2021-1530449,2021-09-07,2,Vente,11700.00,,,"LE HAUT DU BOIS LEROY",B045,90150,90062,Larivière,90,,,90062000ZB0339,,,,,,,,,,,,,0,,,,,S,sols,,,14340.00,6.9849330,47.6756650,000ZB
2021-1530449,2021-09-07,2,Vente,11700.00,,,"LE HAUT DU BOIS LEROY",B045,90150,90062,Larivière,90,,,90062000ZB0341,,,,,,,,,,,,,0,,,,,S,sols,,,1161.00,6.9856170,47.6754180,000ZB
2021-1530449,2021-09-07,2,Vente,11700.00,,,"LE HAUT DU BOIS LEROY",B045,90150,90062,Larivière,90,,,90062000ZB0342,,,,,,,,,,,,,0,,,,,S,sols,,,65.00,6.9844150,47.6749260,000ZB
2021-1530449,2021-09-07,2,Vente,11700.00,,,"LE HAUT DU BOIS LEROY",B045,90150,90062,Larivière,90,,,90062000ZB0343,,,,,,,,,,,,,0,,,,,S,sols,,,141.00,6.9851160,47.6783320,000ZB
2021-1530450,2021-09-03,1,Vente,75000.00,12,,"RUE THIERS",3700,90000,90010,Belfort,90,,,90010000BK0170,,,14,,5,56.84,,,,,,,2,3,Dépendance,,0,,,,,,6.8561760,47.6342410,000BK
2021-1530450,2021-09-03,1,Vente,75000.00,12,,"RUE THIERS",3700,90000,90010,Belfort,90,,,90010000BK0170,,,14,,5,56.84,,,,,,,2,2,Appartement,60.00,3,,,,,,6.8561760,47.6342410,000BK
2021-1530451,2021-08-11,1,Vente,86000.00,13,,"RUE COMTE DE LA SUZE",0980,90000,90010,Belfort,90,,,90010000BK0199,,,13,76.04,,,,,,,,,1,2,Appartement,75.00,4,,,,,,6.8555100,47.6349770,000BK
2021-1530451,2021-08-11,1,Vente,86000.00,13,,"RUE COMTE DE LA SUZE",0980,90000,90010,Belfort,90,,,90010000BK0199,,,13,76.04,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8555100,47.6349770,000BK
2021-1530451,2021-08-11,1,Vente,86000.00,13,,"RUE COMTE DE LA SUZE",0980,90000,90010,Belfort,90,,,90010000BK0199,,,13,76.04,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8555100,47.6349770,000BK
2021-1530451,2021-08-11,1,Vente,86000.00,13,,"RUE COMTE DE LA SUZE",0980,90000,90010,Belfort,90,,,90010000BK0199,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8555100,47.6349770,000BK
2021-1530452,2021-09-02,1,Vente,79500.00,16,B,"RUE DU MAGASIN",2530,90000,90010,Belfort,90,,,90010000AI0035,,,13,,7,68.15,,,,,,,2,2,Appartement,68.00,3,,,,,,6.8600090,47.6436610,000AI
2021-1530452,2021-09-02,1,Vente,79500.00,16,B,"RUE DU MAGASIN",2530,90000,90010,Belfort,90,,,90010000AI0035,,,13,,7,68.15,,,,,,,2,3,Dépendance,,0,,,,,,6.8600090,47.6436610,000AI
2021-1530452,2021-09-02,1,Vente,79500.00,16,B,"RUE DU MAGASIN",2530,90000,90010,Belfort,90,,,90010000AI0035,,,24,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8600090,47.6436610,000AI
2021-1530453,2021-08-30,1,Vente,160000.00,,,"LE VILLAGE",B053,90800,90004,Argiésans,90,,,900040000C0150,,,,,,,,,,,,,0,,,,,T,terres,,,734.00,,,0000C
2021-1530453,2021-08-30,1,Vente,160000.00,,,"LE VILLAGE",B053,90800,90004,Argiésans,90,,,900040000C0151,,,,,,,,,,,,,0,,,,,VE,vergers,,,1806.00,,,0000C
2021-1530454,2021-09-04,1,Vente,35000.00,10,,"FG DE BELFORT",0060,90200,90052,Giromagny,90,,,90052000AO0123,,,10,47.57,38,,,,,,,,2,4,"Local industriel. commercial ou assimilé",56.00,0,,,,,,6.8271100,47.7398970,000AO
2021-1530455,2021-09-13,1,Vente,283800.00,,,"SUR LA LILE",B034,90160,90076,Pérouse,90,,,90076000AB0556,,,,,,,,,,,,,0,,,,,S,sols,,,216.00,6.8928250,47.6399500,000AB
2021-1530455,2021-09-13,1,Vente,283800.00,6,,"IMP DES CROCUS",0027,90160,90076,Pérouse,90,,,90076000AB0574,,,,,,,,,,,,,0,1,Maison,164.00,6,S,sols,,,293.00,6.8929150,47.6398970,000AB
2021-1530456,2021-09-13,1,Vente,87280.00,27,,"IMP DE LA TUILERIE",0241,90800,90008,Bavilliers,90,,,90008000AE0056,,,30,,4,80.79,42,,,,,,3,2,Appartement,84.00,5,,,,,,6.8465500,47.6237080,000AE
2021-1530456,2021-09-13,1,Vente,87280.00,27,,"IMP DE LA TUILERIE",0241,90800,90008,Bavilliers,90,,,90008000AE0056,,,55,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8465500,47.6237080,000AE
2021-1530456,2021-09-13,1,Vente,87280.00,27,,"IMP DE LA TUILERIE",0241,90800,90008,Bavilliers,90,,,90008000AE0056,,,30,,4,80.79,42,,,,,,3,3,Dépendance,,0,,,,,,6.8465500,47.6237080,000AE
2021-1530456,2021-09-13,1,Vente,87280.00,27,,"IMP DE LA TUILERIE",0241,90800,90008,Bavilliers,90,,,90008000AE0056,,,30,,4,80.79,42,,,,,,3,3,Dépendance,,0,,,,,,6.8465500,47.6237080,000AE
2021-1530457,2021-08-31,1,Vente,80000.00,13,,"RUE DES BOCHETS",0002,90150,90067,Menoncourt,90,,,90067000AB0056,,,,,,,,,,,,,0,1,Maison,80.00,4,S,sols,,,500.00,6.9499200,47.6723860,000AB
2021-1530457,2021-08-31,1,Vente,80000.00,13,,"RUE DES BOCHETS",0002,90150,90067,Menoncourt,90,,,90067000AB0056,,,,,,,,,,,,,0,1,Maison,80.00,4,AG,"terrains d'agrément",,,1455.00,6.9499200,47.6723860,000AB
2021-1530458,2021-08-24,1,Vente,73500.00,70,,"FG DE FRANCE",1530,90000,90010,Belfort,90,,,90010000BK0002,,,11,67.32,3,,,,,,,,2,2,Appartement,69.00,3,,,,,,6.8534740,47.6353010,000BK
2021-1530458,2021-08-24,1,Vente,73500.00,70,,"FG DE FRANCE",1530,90000,90010,Belfort,90,,,90010000BK0002,,,11,67.32,3,,,,,,,,2,3,Dépendance,,0,,,,,,6.8534740,47.6353010,000BK
2021-1530459,2021-09-10,1,Vente,49800.00,7,,"RUE DE ZAPOROJIE",3875,90000,90010,Belfort,90,,,90010000BR0043,,,153,86.35,159,,9,,,,,,3,2,Appartement,76.00,4,,,,,,6.8401510,47.6303490,000BR
2021-1530459,2021-09-10,1,Vente,49800.00,7,,"RUE DE ZAPOROJIE",3875,90000,90010,Belfort,90,,,90010000BR0043,,,153,86.35,159,,9,,,,,,3,3,Dépendance,,0,,,,,,6.8401510,47.6303490,000BR
2021-1530459,2021-09-10,1,Vente,49800.00,9001,,"PL MARTIN LUTHER KING",2700,90000,90010,Belfort,90,,,90010000BS0096,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.8396690,47.6321130,000BS
2021-1530460,2021-09-07,1,Vente,25000.00,122,,"AV JEAN JAURES",2150,90000,90010,Belfort,90,,,90010000AD0147,,,73,,74,20.27,79,,87,,,,4,2,Appartement,30.00,1,,,,,,6.8525810,47.6503070,000AD
2021-1530461,2021-09-07,1,Echange,45000.00,1,,"RUE BARTHOLDI",0420,90000,90010,Belfort,90,,,90010000BK0442,,,,,,,,,,,,,0,,,,,S,sols,,,430.00,6.8611130,47.6374780,000BK
2021-1530461,2021-09-07,2,Echange,45000.00,9001,,"CITE VAUBAN",3829,90000,90010,Belfort,90,,,90010000BK0439,,,,,,,,,,,,,0,,,,,S,sols,,,109.00,6.8611010,47.6368840,000BK
2021-1530462,2021-09-08,1,Vente,137000.00,23,,"RUE GEORGES RISLER",1860,90000,90010,Belfort,90,,,90010000BW0241,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,625.00,6.8338760,47.6409420,000BW
2021-1530462,2021-09-08,1,Vente,137000.00,23,,"RUE GEORGES RISLER",1860,90000,90010,Belfort,90,,,90010000BW0241,,,,,,,,,,,,,0,1,Maison,70.00,5,S,sols,,,625.00,6.8338760,47.6409420,000BW
2021-1530463,2021-09-08,1,Vente,100000.00,,,"DERRIERE LE PETIT TAMBOIS",B017,90160,90076,Pérouse,90,,,90076000AB0075,,,,,,,,,,,,,0,,,,,T,terres,,,689.00,6.8935430,47.6416360,000AB
2021-1530463,2021-09-08,1,Vente,100000.00,,,"DERRIERE LE PETIT TAMBOIS",B017,90160,90076,Pérouse,90,,,90076000AB0076,,,,,,,,,,,,,0,,,,,T,terres,,,690.00,6.8936870,47.6416640,000AB
2021-1530463,2021-09-08,1,Vente,100000.00,,,"SUR LA LILE",B034,90160,90076,Pérouse,90,,,90076000AB0547,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,593.00,6.8932270,47.6406210,000AB
2021-1530463,2021-09-08,1,Vente,100000.00,,,"SUR LA LILE",B034,90160,90076,Pérouse,90,,,90076000AB0548,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,1783.00,6.8935810,47.6412150,000AB
2021-1530464,2021-09-01,1,Vente,293000.00,20,,"GR GRANDE RUE",0011,90340,90074,Novillard,90,,,90074000AA0051,,,,,,,,,,,,,0,3,Dépendance,,0,AG,"terrains d'agrément",,,935.00,6.9718340,47.6068550,000AA
2021-1530464,2021-09-01,1,Vente,293000.00,20,,"GR GRANDE RUE",0011,90340,90074,Novillard,90,,,90074000AA0051,,,,,,,,,,,,,0,3,Dépendance,,0,AG,"terrains d'agrément",,,935.00,6.9718340,47.6068550,000AA
2021-1530464,2021-09-01,1,Vente,293000.00,20,,"GR GRANDE RUE",0011,90340,90074,Novillard,90,,,90074000AA0051,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500.00,6.9718340,47.6068550,000AA
2021-1530464,2021-09-01,1,Vente,293000.00,20,,"GR GRANDE RUE",0011,90340,90074,Novillard,90,,,90074000AA0051,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500.00,6.9718340,47.6068550,000AA
2021-1530464,2021-09-01,1,Vente,293000.00,20,,"GR GRANDE RUE",0011,90340,90074,Novillard,90,,,90074000AA0051,,,,,,,,,,,,,0,1,Maison,190.00,7,S,sols,,,500.00,6.9718340,47.6068550,000AA
