id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2022-1145556,2022-05-11,1,Vente,2784.00,,,"CHAMPS SERRES",B025,70800,70023,Anjeux,70,,,700230000B0226,,,,,,,,,,,,,0,,,,,T,terres,,,890.00,6.2175200,47.8823330,0000B
2022-1145556,2022-05-11,1,Vente,2784.00,,,"CHAMPS SERRES",B025,70800,70023,Anjeux,70,,,700230000B0227,,,,,,,,,,,,,0,,,,,T,terres,,,1670.00,6.2177010,47.8822710,0000B
2022-1145668,2022-05-12,1,Vente,62000.00,,,"LE CENTRE",B028,70250,70451,Ronchamp,70,,,70451000AB0086,,,,,,,,,,,,,0,,,,,S,sols,,,68.00,6.6314480,47.7004540,000AB
2022-1145556,2022-05-11,1,Vente,2784.00,,,"CHAMPS SERRES",B025,70800,70023,Anjeux,70,,,700230000B0229,,,,,,,,,,,,,0,,,,,T,terres,,,1680.00,6.2181370,47.8820710,0000B
2022-1145901,2022-05-27,1,Vente,40000.00,,,"LE VILLAGE",B064,70500,70359,Montcourt,70,,,703590000A0699,,,,,,,,,,,,,0,,,,,S,sols,,,232.00,5.9580410,47.9290460,0000A
2022-1145923,2022-05-25,1,Vente,171200.00,,,"LE VILLAGE",B187,70700,70152,Choye,70,,,701520000C0058,,,,,,,,,,,,,0,,,,,T,terres,,,505.00,5.7571150,47.3926700,0000C
2022-1146017,2022-05-25,1,Vente,65000.00,,,"L ETANG",B047,70100,70125,Champvans,70,,,70125000ZH0021,,,,,,,,,,,,,0,,,,,P,prés,,,9408.00,5.5802300,47.3961690,000ZH
2022-1146107,2022-05-19,1,Vente,160000.00,,,"LE VILLAGE",B054,70400,70182,Courmont,70,,,701820000B1679,,,,,,,,,,,,,0,,,,,P,prés,,,30.00,6.6264520,47.6127530,0000B
2022-1146107,2022-05-19,1,Vente,160000.00,,,"LE VILLAGE",B054,70400,70182,Courmont,70,,,701820000B1680,,,,,,,,,,,,,0,,,,,P,prés,,,1004.00,6.6265730,47.6126160,0000B
2022-1146290,2022-06-08,1,Vente,206004.00,,,"LA VELLE",B132,70700,70039,Autoreille,70,,,70039000ZC0257,,,,,,,,,,,,,0,,,,,P,prés,,,591.00,5.8114040,47.3694380,000ZC
