id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2021-947889,2021-05-14,1,Vente,8000.00,,,BRIZON,B064,58140,58037,Brassy,58,,,580370000D1426,,,,,,,,,,,,,0,,,,,J,jardins,,,7.00,3.9091390,47.2649970,0000D
2021-948695,2021-06-25,1,Vente,65000.00,,,BONNETRE,B045,58140,58037,Brassy,58,,,580370000E1666,,,,,,,,,,,,,0,,,,,T,terres,,,26.00,3.9290980,47.2774800,0000E
2021-948756,2021-06-24,1,Vente,155000.00,,,"LA BARRE",B008,58110,58223,Rouy,58,,,58223000ZC0080,,,,,,,,,,,,,0,,,,,S,sols,,,522.00,3.5216800,47.0319830,000ZC
2021-948756,2021-06-24,1,Vente,155000.00,,,"LA BARRE",B008,58110,58223,Rouy,58,,,58223000ZC0169,,,,,,,,,,,,,0,,,,,S,sols,,,144.00,3.5213880,47.0315690,000ZC
2021-948756,2021-06-24,1,Vente,155000.00,,,"LA BARRE",B008,58110,58223,Rouy,58,,,58223000ZC0170,,,,,,,,,,,,,0,,,,,VI,vignes,,,745.00,3.5215600,47.0313480,000ZC
2021-948865,2021-06-18,1,Vente,62000.00,,,"LE BOURG",B004,58270,58078,Cizely,58,,,580780000A0139,,,,,,,,,,,,,0,,,,,P,prés,,,1695.00,3.4858850,46.9902560,0000A
2021-950802,2021-10-04,1,Vente,140000.00,,,"L USAGE",B228,58300,58306,Verneuil,58,,,583060000A1161,,,,,,,,,,,,,0,,,,,S,sols,,,45.00,3.5688520,46.8692220,0000A
2021-951091,2021-10-28,1,Vente,8051.00,,,"LA COTE",B053,58190,58005,Amazy,58,,,580050000C0284,,,,,,,,,,,,,0,,,,,L,landes,,,386.00,3.5658400,47.3804720,0000C
2021-951091,2021-10-28,1,Vente,8051.00,,,"LA COTE",B053,58190,58005,Amazy,58,,,580050000C0285,,,,,,,,,,,,,0,,,,,L,landes,,,1947.00,3.5659020,47.3806020,0000C
2021-949664,2021-07-21,1,Vente,1248000.00,353,A,"LE BOIS DE LA POINTE",B006,58400,58164,Mesves-sur-Loire,58,,,58164000ZN0018,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,912.00,3.0144980,47.2095730,000ZN
2021-949664,2021-07-21,1,Vente,1248000.00,353,A,"LE BOIS DE LA POINTE",B006,58400,58164,Mesves-sur-Loire,58,,,58164000ZN0018,,,,,,,,,,,,,0,3,Dépendance,,0,BS,"taillis sous futaie",,,956648.00,3.0144980,47.2095730,000ZN
2021-949664,2021-07-21,1,Vente,1248000.00,353,A,"LE BOIS DE LA POINTE",B006,58400,58164,Mesves-sur-Loire,58,,,58164000ZN0018,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,19541.00,3.0144980,47.2095730,000ZN
2021-949664,2021-07-21,1,Vente,1248000.00,,,"LE BOIS DE LA POINTE",B006,58400,58164,Mesves-sur-Loire,58,,,58164000ZN0021,,,,,,,,,,,,,0,,,,,P,prés,,,4396.00,3.0118820,47.2071630,000ZN
2021-949664,2021-07-21,1,Vente,1248000.00,,,"LE BOIS DE LA POINTE",B006,58400,58164,Mesves-sur-Loire,58,,,58164000ZN0022,,,,,,,,,,,,,0,,,,,P,prés,,,332.00,3.0121160,47.2082560,000ZN
2021-949664,2021-07-21,1,Vente,1248000.00,,,"LE BOIS DE LA POINTE",B006,58400,58164,Mesves-sur-Loire,58,,,58164000ZN0023,,,,,,,,,,,,,0,,,,,AG,"terrains d'agrément",,,1207.00,3.0100560,47.2086240,000ZN
2021-949665,2021-07-16,1,Vente,170000.00,21,,"RUE PIERRE BROSSOLETTE",2310,58640,58303,Varennes-Vauzelles,58,,,58303000BO0111,,,,,,,,,,,,,0,1,Maison,82.00,5,S,sols,,,148.00,3.1381870,47.0263830,000BO
2021-949665,2021-07-16,1,Vente,170000.00,21,,"RUE PIERRE BROSSOLETTE",2310,58640,58303,Varennes-Vauzelles,58,,,58303000BO0111,,,,,,,,,,,,,0,1,Maison,82.00,5,J,jardins,POTAG,"Jardin potager",1327.00,3.1381870,47.0263830,000BO
2021-949666,2021-07-20,1,Vente,138000.00,12,,"IMP ANDRE MARIE AMPERE",0175,58640,58303,Varennes-Vauzelles,58,,,58303000AS0209,,,,,,,,,,,,,0,1,Maison,89.00,4,S,sols,,,557.00,3.1515550,47.0137910,000AS
2021-949667,2021-07-23,1,Vente,74000.00,75,,"RUE GEORGES MERAT",0218,58600,58121,Garchizy,58,,,58121000BC0056,,,,,,,,,,,,,0,1,Maison,51.00,3,S,sols,,,153.00,3.0804200,47.0415700,000BC
2021-949668,2021-07-02,1,Vente,196000.00,111,,"RUE DE LA FONTAINE ST LAURENT",1340,58200,58086,Cosne-Cours-sur-Loire,58,,,58086091AL0205,,,,,,,,,,,,,0,1,Maison,113.00,5,S,sols,,,464.00,2.9409060,47.4214300,091AL
2021-949668,2021-07-02,1,Vente,196000.00,111,,"RUE DE LA FONTAINE ST LAURENT",1340,58200,58086,Cosne-Cours-sur-Loire,58,,,58086091AL0205,,,,,,,,,,,,,0,1,Maison,113.00,5,T,terres,,,1939.00,2.9409060,47.4214300,091AL
2021-949669,2021-07-29,2,Vente,900.00,,,"RUE DU 13EME DE LIGNE",6270,58000,58194,Nevers,58,,,58194000CL0273,,,,,,,,,,,,,0,,,,,S,sols,,,26.00,3.1387600,46.9930410,000CL
2021-949670,2021-07-27,1,Vente,52000.00,22,,"RUE DU DOC ROCHE",1640,58000,58194,Nevers,58,,,58194000AK0299,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.1614070,46.9956190,000AK
2021-949670,2021-07-27,1,Vente,52000.00,22,,"RUE DU DOC ROCHE",1640,58000,58194,Nevers,58,,,58194000AK0299,,,17,,65,67.17,,,,,,,2,3,Dépendance,,0,,,,,,3.1614070,46.9956190,000AK
2021-949670,2021-07-27,1,Vente,52000.00,22,,"RUE DU DOC ROCHE",1640,58000,58194,Nevers,58,,,58194000AK0299,,,17,,65,67.17,,,,,,,2,2,Appartement,64.00,3,,,,,,3.1614070,46.9956190,000AK
2021-949671,2021-07-27,1,Vente,175000.00,2,B,"RUE PASTEUR",4460,58000,58194,Nevers,58,,,58194000BN0035,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.1598020,46.9928450,000BN
2021-949671,2021-07-27,1,Vente,175000.00,2,B,"RUE PASTEUR",4460,58000,58194,Nevers,58,,,58194000BN0035,,,124,131.50,125,,174,,,,,,3,3,Dépendance,,0,,,,,,3.1598020,46.9928450,000BN
2021-949671,2021-07-27,1,Vente,175000.00,2,B,"RUE PASTEUR",4460,58000,58194,Nevers,58,,,58194000BN0035,,,124,131.50,125,,174,,,,,,3,3,Dépendance,,0,,,,,,3.1598020,46.9928450,000BN
2021-949671,2021-07-27,1,Vente,175000.00,2,B,"RUE PASTEUR",4460,58000,58194,Nevers,58,,,58194000BN0035,,,124,131.50,125,,174,,,,,,3,2,Appartement,130.00,4,,,,,,3.1598020,46.9928450,000BN
2021-949671,2021-07-27,1,Vente,175000.00,2,B,"RUE PASTEUR",4460,58000,58194,Nevers,58,,,58194000BN0035,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.1598020,46.9928450,000BN
2021-949672,2021-07-26,1,Vente,29000.00,20,,"RUE THEODORE BOUYS",6190,58000,58194,Nevers,58,,,58194000CR0444,,,11,25.50,23,,8,,,,,,3,2,Appartement,26.00,1,,,,,,3.1460620,46.9984300,000CR
2021-949672,2021-07-26,1,Vente,29000.00,20,,"RUE THEODORE BOUYS",6190,58000,58194,Nevers,58,,,58194000CR0444,,,11,25.50,23,,8,,,,,,3,3,Dépendance,,0,,,,,,3.1460620,46.9984300,000CR
2021-949672,2021-07-26,1,Vente,29000.00,20,,"RUE THEODORE BOUYS",6190,58000,58194,Nevers,58,,,58194000CR0444,,,11,25.50,23,,8,,,,,,3,3,Dépendance,,0,,,,,,3.1460620,46.9984300,000CR
2021-949673,2021-07-22,1,Vente,79500.00,,,"LA MONTEE BISEAU",B150,58350,58081,Colméry,58,,,58081000ZT0085,,,,,,,,,,,,,0,,,,,S,sols,,,112.00,3.2480020,47.3438650,000ZT
2021-949673,2021-07-22,1,Vente,79500.00,3,,"RUE DU BOIS DE LA COUR",0025,58350,58081,Colméry,58,,,58081000ZT0087,,,,,,,,,,,,,0,1,Maison,70.00,1,S,sols,,,331.00,3.2480100,47.3438030,000ZT
2021-949674,2021-07-16,1,Vente,87000.00,14,,"RUE SAINT DIDIER",5700,58000,58194,Nevers,58,,,58194000BO0046,,,1,,11,,2,,4,74.11,5,,6,2,Appartement,29.00,2,,,,,,3.1550380,46.9879260,000BO
